Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
8 1 7 2533.75621 100.1 2986.25066
6 3 3 2629.73793 99.8 2986.25304

6 3 3 2629.55635 99.4 2986.07146
7 3 5 2570.55044 85.5 2986.07249
8 3 5 2418.37575 93.1 2986.0726

7 3 5 2570.55044 85.5 2986.07249
8 3 5 2418.37575 93.1 2986.0726

7 3 5 2570.67686 98.6 2986.19891
8 3 5 2418.50154 100.1 2986.19839

Searching 7 2 6 near 2986.07555

6 2 5 2704.22307 98.6 2985.82534
7 2 5 2570.34532 99.7 2985.82267

6 2 5 2704.30538 99.8 2985.90765
7 2 5 2570.43156 100.0 2985.90891
6 4 3 2626.54234 100.0 2985.90858

6 2 5 2704.36039 34.4 2985.96266
8 4 5 2418.08106 99.7 2985.96279

6 2 5 2704.41673 83.8 2986.019
8 2 7 2533.52465 91.0 2986.01931

6 2 5 2704.47064 93.8 2986.07291
8 2 7 2533.57769 88.2 2986.07236
6 4 3 2626.70681 98.3 2986.07305
8 4 5 2418.19127 80.2 2986.073
7 0 7 2687.10312 40.9 2986.07283

6 2 5 2704.6541 87.8 2986.25637
8 4 5 2418.37575 93.1 2986.25748

7 2 5 2570.43156 100.0 2985.90891
6 4 3 2626.54234 100.0 2985.90858

7 2 5 2570.55044 85.5 2986.02779
7 0 7 2687.05635 61.8 2986.02607

7 2 5 2570.77337 100.1 2986.25072
8 2 7 2533.75621 100.1 2986.25088
6 4 3 2626.88344 98.4 2986.24969

7 2 5 2570.88158 99.5 2986.35893
8 4 5 2418.47815 100.0 2986.35988

8 2 7 2533.57769 88.2 2986.07236
6 4 3 2626.70681 98.3 2986.07305
8 4 5 2418.19127 80.2 2986.073
7 0 7 2687.10312 40.9 2986.07283

8 2 7 2533.75621 100.1 2986.25088
6 4 3 2626.88344 98.4 2986.24969

6 4 3 2626.70681 98.3 2986.07305
8 4 5 2418.19127 80.2 2986.073
7 0 7 2687.10312 40.9 2986.07283

8 4 5 2418.19127 80.2 2986.073
7 0 7 2687.10312 40.9 2986.07283

Searching 8 1 7 near 3075.17773

7 1 6 2712.62575 81.1 3074.97731
8 1 8 2695.5685 99.9 3074.976

7 1 6 2712.74902 94.9 3075.10059
8 1 8 2695.6935 43.4 3075.101
9 1 8 2523.08701 94.2 3075.10103
7 3 4 2617.2214 98.4 3075.10108
8 3 6 2559.8038 66.7 3075.10107
9 3 6 2388.61239 85.9 3075.10109

7 1 6 2712.81015 97.9 3075.16172
8 1 8 2695.75533 99.7 3075.16283

7 1 6 2712.86225 92.6 3075.21382
9 3 6 2388.72539 100.1 3075.21409

8 1 8 2695.58859 90.4 3074.99609
9 1 8 2522.98336 82.4 3074.99737
7 3 4 2617.11665 100.1 3074.99632

8 1 8 2695.6935 43.4 3075.101
9 1 8 2523.08701 94.2 3075.10103
7 3 4 2617.2214 98.4 3075.10108
8 3 6 2559.8038 66.7 3075.10107
9 3 6 2388.61239 85.9 3075.10109

9 1 8 2522.95495 98.8 3074.96896
8 3 6 2559.67095 74.2 3074.96823

9 1 8 2522.98336 82.4 3074.99737
7 3 4 2617.11665 100.1 3074.99632

9 1 8 2523.08701 94.2 3075.10103
7 3 4 2617.2214 98.4 3075.10108
8 3 6 2559.8038 66.7 3075.10107
9 3 6 2388.61239 85.9 3075.10109

7 3 4 2617.2214 98.4 3075.10108
8 3 6 2559.8038 66.7 3075.10107
9 3 6 2388.61239 85.9 3075.10109

