Range    : 0.200

Accuracy : 0.001

Control file  : gr32new

Spectrum file : 9md

Searching 3 3 0 near 2743.85356
11 5 6 2629.36065 99.1 3711.67918
13 5 8 2289.80914 98.0 3711.67885

11 5 6 2629.36065 99.1 3711.67918
13 5 8 2289.80914 98.0 3711.67885

11 5 6 2629.0434 90.7 3711.36193
13 5 8 2289.49307 100.2 3711.36277

11 5 6 2629.36065 99.1 3711.67918
13 5 8 2289.80914 98.0 3711.67885

Searching 12 4 9 near 3711.51554
11 6 6 2628.871 99.8 3711.67847
13 6 8 2289.77222 99.4 3711.6786

11 6 6 2628.62931 100.0 3711.43678
13 6 8 2289.52975 100.2 3711.43613

11 6 6 2628.85067 99.7 3711.65815
13 6 8 2289.75115 100.1 3711.65753

11 6 6 2628.871 99.8 3711.67847
13 6 8 2289.77222 99.4 3711.6786

Searching 13 3 10 near 3864.88057
12 5 7 2616.99588 100.0 3864.67439
14 5 9 2259.67046 100.2 3864.67417

12 5 7 2617.2214 98.4 3864.89991
14 5 9 2259.89548 100.1 3864.89918

Searching 13 4 10 near 3864.88063
12 4 9 2766.86777 99.6 3864.92343
13 4 9 2521.95697 100.1 3864.92355
14 6 9 2259.90995 100.2 3864.92363

Searching 14 3 11 near 4027.17892
13 3 10 2773.36764 99.0 4027.03622
15 3 12 2434.61087 100.0 4027.03567

13 5 8 2605.1815 100.0 4027.05121
15 5 10 2229.94972 100.1 4027.05148

Searching 14 4 11 near 4027.17893
13 4 10 2773.36764 99.0 4027.03632
15 4 12 2434.61087 100.0 4027.03568

Searching 15 3 12 near 4198.32229
14 3 11 2779.78535 99.7 4198.25157
16 3 13 2422.7332 100.1 4198.25184

Searching 15 4 12 near 4198.3223
14 4 11 2779.78535 99.7 4198.2516
16 4 13 2422.7332 100.1 4198.25184

