J,V,J1,J2,J3,Value
19,1,19,9,10,5646.170474
19,1,19,11,8,5789.272073
19,1,19,13,6,5878.932476
19,1,19,15,4,5971.817356
19,1,19,17,2,6079.00522
19,1,19,19,0,6151.406477
19,1,19,2,18,4658.60028
19,1,19,4,16,4968.67463
19,1,19,6,14,5235.185108
19,1,19,8,12,5460.585912
19,1,19,10,10,5646.28083
19,1,19,12,8,5793.540733
19,1,19,14,6,5913.317505
19,1,19,16,4,6026.793573
19,1,19,18,2,6131.021763
20,1,20,0,20,4675.394744
20,1,20,2,18,5024.591199
20,1,20,4,16,5327.86846
20,1,20,6,14,5588.542219
20,1,20,8,12,5808.790189
20,1,20,10,10,5989.635769
20,1,20,12,8,6127.050644
20,1,20,14,6,6213.808776
20,1,20,16,4,6310.388956
20,1,20,18,2,6411.008784
20,1,20,20,0,6477.886751
20,1,20,1,20,4675.394744
20,1,20,3,18,5024.591199
20,1,20,5,16,5327.86846
20,1,20,7,14,5588.542238
20,1,20,9,12,5808.793227
20,1,20,11,10,5989.860011
20,1,20,13,8,6133.57326
20,1,20,15,6,6252.644623
20,1,20,17,4,6364.819564
20,1,20,19,2,6467.173289
20,1,20,1,19,4855.993387
20,1,20,3,17,5181.732304
20,1,20,5,15,5463.371115
20,1,20,7,13,5703.621989
20,1,20,9,11,5904.149229
20,1,20,11,9,6064.647649
20,1,20,13,7,6174.486174
20,1,20,15,5,6258.282341
20,1,20,17,3,6365.021446
20,1,20,19,1,6467.178132
20,1,20,2,19,4855.993387
20,1,20,4,17,5181.732304
20,1,20,6,15,5463.371116
20,1,20,8,13,5703.62225
20,1,20,10,11,5904.17813
20,1,20,12,9,6066.038853
20,1,20,14,7,6194.704375
20,1,20,16,5,6309.221586
20,1,20,18,3,6410.975745
20,1,20,20,1,6477.884553
21,1,21,0,21,4873.502919
21,1,21,2,19,5237.94371
21,1,21,4,17,5555.761603
21,1,21,6,15,5830.557421
21,1,21,8,13,6064.729776
21,1,21,10,11,6259.72764
21,1,21,12,9,6414.798826
21,1,21,14,7,6519.408557
21,1,21,16,5,6604.241709
21,1,21,18,3,6707.617795
21,1,21,20,1,6809.740503
21,1,21,1,21,4873.502919
21,1,21,3,19,5237.94371
21,1,21,5,17,5555.761603
21,1,21,7,15,5830.557425
21,1,21,9,13,6064.730453
21,1,21,11,11,6259.783823
21,1,21,13,9,6416.878949
21,1,21,15,7,6542.578279
21,1,21,17,5,6653.214762
21,1,21,19,3,6740.075357
21,1,21,21,1,6813.051928
21,1,21,1,20,5061.834402
21,1,21,3,18,5402.422601
21,1,21,5,16,5698.363648
21,1,21,7,14,5952.608983
21,1,21,9,12,6167.076687
21,1,21,11,10,6342.560702
21,1,21,13,8,6474.134331
21,1,21,15,6,6558.940805
21,1,21,17,4,6654.286314
21,1,21,19,2,6740.124507
21,1,21,21,0,6813.057362
21,1,21,2,20,5061.834402
21,1,21,4,18,5402.422601
21,1,21,6,16,5698.363648
21,1,21,8,14,5952.609039
21,1,21,10,12,6167.083476
21,1,21,12,10,6342.942893
21,1,21,14,8,6482.675975
21,1,21,16,6,6599.42846
21,1,21,18,4,6707.404366
21,1,21,20,2,6809.733546
22,1,22,0,22,5080.37777
22,1,22,2,20,5459.050501
22,1,22,4,18,5790.387159
22,1,22,6,16,6078.270238
22,1,22,8,14,6325.270448
22,1,22,10,12,6533.054182
22,1,22,12,10,6702.269361
22,1,22,14,8,6828.13401
22,1,22,16,6,6910.299441
22,1,22,18,4,6994.353349
22,1,22,20,2,7063.689629
22,1,22,22,0,7158.334723
22,1,22,1,22,5080.37777
22,1,22,3,20,5459.050501
22,1,22,5,18,5790.387159
22,1,22,7,16,6078.270239
22,1,22,9,14,6325.270581
22,1,22,11,12,6533.066336
22,1,22,13,10,6702.795638
22,1,22,15,8,6837.396071
22,1,22,17,6,6948.841034
22,1,22,19,4,7050.808315
22,1,22,21,2,7157.907584
22,1,22,1,21,5275.93811
22,1,22,3,19,5630.356835
22,1,22,5,17,5939.574493
22,1,22,7,15,6206.758854
22,1,22,9,13,6433.98941
22,1,22,11,11,6622.529181
22,1,22,13,9,6771.496464
22,1,22,15,7,6871.997044
22,1,22,17,5,6953.908205
22,1,22,19,3,7051.123887
22,1,22,21,1,7157.919675
22,1,22,2,21,5275.93811
22,1,22,4,19,5630.356835
22,1,22,6,17,5939.574493
22,1,22,8,15,6206.758865
22,1,22,10,13,6433.990792
22,1,22,12,11,6622.616466
22,1,22,14,9,6773.998229
22,1,22,16,7,6894.547091
22,1,22,18,5,6993.034732
22,1,22,20,3,7063.533319
22,1,22,22,1,7158.323005
23,1,23,0,23,5295.923887
23,1,23,2,21,5687.562964
23,1,23,4,19,6031.144268
23,1,23,6,17,6330.825269
23,1,23,8,15,6589.286412
23,1,23,10,13,6808.229216
23,1,23,12,11,6988.667516
23,1,23,14,9,7130.014043
23,1,23,16,7,7226.989556
23,1,23,18,5,7301.631739
23,1,23,20,3,7394.731733
23,1,23,22,1,7511.362521
23,1,23,1,23,5295.923887
23,1,23,3,21,5687.562964
23,1,23,5,19,6031.144268
23,1,23,7,17,6330.825269
23,1,23,9,15,6589.286434
23,1,23,11,13,6808.231266
23,1,23,13,11,6988.762765
23,1,23,15,9,7131.988458
23,1,23,17,7,7239.967485
23,1,23,19,5,7312.118734
23,1,23,21,3,7395.049837
23,1,23,23,1,7511.3285
23,1,23,1,22,5498.082508
23,1,23,3,20,5865.060136
23,1,23,5,18,6186.276405
23,1,23,7,16,6465.08414
23,1,23,9,14,6703.6186
23,1,23,11,12,6903.228153
23,1,23,13,10,7064.392178
23,1,23,15,8,7183.409359
23,1,23,17,6,7257.660608
23,1,23,19,4,7315.654214
23,1,23,21,2,7395.676916
23,1,23,23,0,7511.352292
23,1,23,2,22,5498.082508
23,1,23,4,20,5865.060136
23,1,23,6,18,6186.276405
23,1,23,8,16,6465.084141
23,1,23,10,14,6703.618845
23,1,23,12,12,6903.245289
23,1,23,14,10,7064.965861
23,1,23,16,8,7191.569559
23,1,23,18,6,7294.179972
23,1,23,20,4,7394.062091
23,1,23,22,2,7511.338738
24,1,24,0,24,5520.030082
24,1,24,2,22,5923.057224
24,1,24,4,20,6277.292109
24,1,24,6,18,6587.153539
24,1,24,8,16,6855.340045
24,1,24,10,14,7083.345236
24,1,24,12,12,7271.729985
24,1,24,14,10,7419.022452
24,1,24,16,8,7513.576563
24,1,24,18,6,7577.187256
24,1,24,20,4,7648.173522
24,1,24,22,2,7742.460734
24,1,24,24,0,7869.231756
24,1,24,1,24,5520.030082
24,1,24,3,22,5923.057224
24,1,24,5,20,6277.292109
24,1,24,7,18,6587.153539
24,1,24,9,16,6855.340049
24,1,24,11,14,7083.345807
24,1,24,13,12,7271.769902
24,1,24,15,10,7420.512958
24,1,24,17,8,7533.627513
24,1,24,19,6,7632.5525
24,1,24,21,4,7740.836605
24,1,24,23,2,7869.180886
24,1,24,1,23,5728.000708
24,1,24,3,21,6105.95075
24,1,24,5,19,6437.567027
24,1,24,7,17,6726.339734
24,1,24,9,15,6974.308294
24,1,24,11,13,7182.499828
24,1,24,13,11,7351.020005
24,1,24,15,9,7479.553322
24,1,24,17,7,7574.069237
24,1,24,19,5,7648.400803
24,1,24,21,3,7742.536463
24,1,24,23,1,7869.232244
24,1,24,2,23,5728.000708
24,1,24,4,21,6105.95075
24,1,24,6,19,6437.567027
24,1,24,8,17,6726.339734
24,1,24,10,15,6974.308302
24,1,24,12,13,7182.499218
24,1,24,14,11,7350.904826
24,1,24,16,9,7474.860695
24,1,24,18,7,7547.380354
24,1,24,20,5,7632.362116
24,1,24,22,3,7740.753978
24,1,24,24,1,7869.180395
25,1,25,0,25,5752.565938
25,1,25,2,23,6165.015158
25,1,25,4,21,6527.911384
25,1,25,6,19,6845.907231
25,1,25,8,17,7121.569356
25,1,25,10,15,7355.760713
25,1,25,12,13,7547.293832
25,1,25,14,11,7691.849614
25,1,25,16,9,7801.706811
25,1,25,18,7,7911.857383
25,1,25,20,5,8005.546122
25,1,25,22,3,8098.047791
25,1,25,24,1,8230.198886
